Description,Date_Acquired,Date_Sold,Proceeds,Cost_Basis,Code,Adjustment,Gain_Loss,Marketplace
Bluey: The Videogame (Nintendo Switch),12/15/2023,12/18/2025,$18.64 ,$39.00 ,,,-$20.36,ebay
Richard Avedon: Photographs 1946-2004,1/23/2022,11/22/2025,$49.74 ,$75.00 ,,,-$25.26,ebay
Metroid Dread - Nintendo Switch,8/23/2021,11/8/2025,$39.70 ,$64.07 ,,,-$24.37,ebay
PAPER Mario: the Origami King - Nintendo Switch,5/21/2020,11/4/2025,$26.76 ,$64.00 ,,,-$37.24,ebay
Kirby and the Forgotten Land - Nintendo Switch,4/2/2022,10/26/2025,$33.83 ,$57.67 ,,,-$23.84,ebay
New Super Mario Bros. U Deluxe - Nintendo Switch,6/17/2019,10/22/2025,$25.27 ,$47.09 ,,,-$21.82,ebay
Super Mario Odyssey - Nintendo Switch,10/21/2017,10/18/2025,$26.87 ,$51.35 ,,,-$24.48,ebay
Audio Research D-240 MkII,12/20/2020,9/14/2025,$818.02 ,$900.00 ,,,-$81.98,ebay
Super Mario 3D All-Stars - Nintendo Switch,9/18/2020,8/14/2025,$81.70 ,$64.19 ,,,$17.51,ebay
"2024 Hot Wheels OPTIMUS PRIME Transformers 
RLC HXT02-9993",5/21/2024,6/1/2025,$192.23 ,$89.32 ,,,$102.91,ebay
"2024 Hot Wheels OPTIMUS PRIME Transformers 
RLC HXT02-9993",5/21/2024,6/1/2025,$172.55 ,$89.32 ,,,$83.23,ebay
hk825 harman/kardan Stereo preamplifier,12/20/2020,5/27/2025,$247.15 ,$250.00 ,,,-$2.85,ebay
21306 Yellow Submarine ,4/13/2017,6/13/2025,$138.42 ,$57.66 ,,,$80.76,bricklink
40787 Mario Kart - Spiny Shell,5/18/2025,6/2/2025,$42.74 ,$0.00 ,,,$42.74,bricklink
21311 Voltron,7/23/2018,6/3/2025,$259.61 ,$184.00 ,,,$75.61,bricklink
40588 Flowerpot,4/18/2023,6/22/2025,$31.95 ,$0.00 ,,,$31.95,bricklink
910015 Clockwork Aquarium,9/23/2022,6/25/2025,$132.42 ,$69.54 ,,,$62.88,bricklink
5009157 Amelia Ticket Booth,4/10/2025,6/28/2025,$40.99 ,$0.00 ,,,$40.99,bricklink
40686 Trade Federation Troop Carrier,5/3/2024,7/1/2025,$35.99 ,$0.00 ,,,$35.99,bricklink
40591 Death Star II,5/2/2023,8/1/2025,$74.40 ,$0.00 ,,,$74.40,bricklink
42121 Heavy Duty Excavator,3/2/2021,8/1/2025,$74.40 ,$42.83 ,,,$31.57,bricklink
40604 Christmas Decor Set  (x2) ,12/14/2023,8/1/2025,$37.20 ,$0.00 ,,,$37.20,bricklink
21321 International Space Station,2/2/2020,8/1/2025,$81.84 ,$74.00 ,,,$7.84,bricklink
40532 Vintage Taxi,2/5/2022,8/1/2025,$27.90 ,$0.00 ,,,$27.90,bricklink
40564 Winter Elves Scene,11/28/2022,8/1/2025,$18.60 ,$0.00 ,,,$18.60,bricklink
40483 Luke Skywalker's Lightsaber,11/27/2021,8/3/2025,$104.90 ,$0.00 ,,,$104.90,bricklink
40697 Halloween Pumpkin,10/2/2024,8/3/2025,$13.95 ,$22.00 ,,,-$8.05,bricklink
76392 Hogwarts Wizard’s Chess,5/13/2021,8/14/2025,$84.44 ,$64.19 ,,,$20.25,bricklink
21046 Empire State Building,8/2/2019,9/7/2025,$78.84 ,$137.69 ,,,-$58.85,bricklink
21332 The Globe,2/5/2022,9/25/2025,$167.17 ,$213.49 ,,,-$46.32,bricklink
40579 Eiffel's Apartment,11/28/2022,9/25/2025,$59.22 ,$0.00 ,,,$59.22,bricklink
40788 Friendly Snails,7/2/2025,10/6/2025,$33.38 ,$0.00 ,,,$33.38,bricklink
21226 Art Project - Create Together,12/1/2021,10/12/2025,$92.61 ,$124.24 ,,,-$31.63,bricklink
10265 Ford Mustang,3/3/2019,10/21/2025,$92.01 ,$160.41 ,,,-$68.40,bricklink
5009325 The Simpsons Living Room,5/4/2025,10/31/2025,$35.04 ,$0.00 ,,,$35.04,bricklink
"Digable Planets - Reachin' 
(A New Refutation Of Time And Space)",2/21/2018,1/16/2025,$103.66 ,$28.00 ,,,$75.66,discogs
"Young Thug (2) - So Much Fun 
(2xLP, Album, Club, RE, Gre)",5/1/2021,2/1/2025,$93.16 ,$43.00 ,,,$50.16,discogs
"Neon Indian - Psychic Chasms 
(LP, Album, Club, RE, RM, Yel)",11/25/2024,4/2/2025,$26.03 ,$43.00 ,,,-$16.97,discogs
"Mos Def - The Ecstatic (2xLP, Album, RE)",11/10/2017,4/6/2025,$161.31 ,$34.00 ,,,$127.31,discogs
"Yo Gabba Gabba! - Fantastic Voyages 
(LP, Comp, Mou)",3/5/2019,5/2/2025,$37.06 ,$28.67 ,,,$8.39,discogs
"Yo Gabba Gabba! - Yo Gabba Gabba! Hey! 
(LP, Comp, Mun)",1/8/2019,5/4/2025,$37.06 ,$28.98 ,,,$8.08,discogs
" Wu-Tang* - Wu-Tang Meets The Indie Culture Vol. 1 
(2xLP, Comp, RE, RP, Pur)",2/8/2019,5/11/2025,$131.77 ,$33.48 ,,,$98.29,discogs
"Various - Breaking Bad 
(Box, Comp, Ltd, Num, S/Edition + 5x10"", Alb)",4/23/2019,5/18/2025,$149.84 ,$117.64 ,,,$32.20,discogs
" Solange (2) - True 
(LP, EP, Club, Ltd, Num, RE, RM, Red)",8/12/2019,5/23/2025,$132.41 ,$43.00 ,,,$89.41,discogs
"Cannibal Ox - The Cold Vein 
(4xLP, Album, Dlx, RE, RM, Whi)",10/23/2018,5/25/2025,$141.23 ,$57.00 ,,,$84.23,discogs
"De La Soul - Breakadawn / En Focus (2x12"")",4/15/2020,5/29/2025,$30.26 ,$24.00 ,,,$6.26,discogs
"Taj Mahal - Taj Mahal (LP, Album, Ter)",2/17/2017,5/30/2025,$75.10 ,$19.00 ,,,$56.10,discogs
